category,question_original,question_variations,answer,keywords,intent,fallback_clarification,confidence_threshold;
"CreaCheck_Allgemein,Was ist CreaCheck?,""['Was ist CreaCheck?', 'Was ist das System?', 'Können Sie mir erklären, was CreaCheck?', 'Ich brauche Infos über was ist creacheck?', 'Was ist CreaCheck??', 'Hilfe bei: was ist creacheck?']"",""CreaCheck ist eine innovative Design- und Marketingautomatisierungslösung, die speziell für politische Kommunikation und Wahlkampfmaterial entwickelt wurde. Mit CreaCheck können Sie in wenigen Minuten professionelle Werbemittel erstellen, die zu 100% Ihrem Corporate Design entsprechen."",""['CreaCheck', 'Design', 'Marketing', 'Automatisierung']"",product_info,Möchten Sie mehr über die spezifischen Funktionen von CreaCheck erfahren oder haben Sie Fragen zur Bedienung?,0.8";
"CreaCheck_Allgemein,Wie funktioniert CreaCheck Business?,""['Wie funktioniert CreaCheck Business?', 'Wie funktioniert das System Business?', 'Wie funktioniert CreaCheck Business?', 'Ich brauche Infos über wie funktioniert creacheck business?', 'Wie funktioniert CreaCheck Business??', 'Hilfe bei: wie funktioniert creacheck business?']"",""CreaCheck Business bietet Ihnen ein komplettes White-Label-System mit unbegrenzten Nutzern, Kampagnen-Funktionen und automatisierter Texformatierung. Das System wird individuell mit Ihrem Corporate Design eingerichtet und ist sofort einsatzbereit."",""['CreaCheck Business', 'White-Label', 'Nutzer', 'Kampagnen']"",product_features,Interessieren Sie sich für die Business-Version oder die Enterprise-Lösung? Gerne erkläre ich Ihnen die Unterschiede.,0.8";
"CreaCheck_Allgemein,Was ist der Unterschied zwischen CreaCheck Business und Enterprise?,""['Was ist der Unterschied zwischen CreaCheck Business und Enterprise?', 'Was ist der Unterschied zwischen das System Business und Enterprise?', 'Können Sie mir erklären, was der Unterschied zwischen CreaCheck Business und Enterprise?', 'Ich brauche Infos über was ist der unterschied zwischen creacheck business und enterprise?', 'Was ist der Unterschied zwischen CreaCheck Business und Enterprise??', 'Hilfe bei: was ist der unterschied zwischen creacheck business und enterprise?']"",""CreaCheck Business richtet sich an kleinere Organisationen mit bis zu 5 Nutzern und 3 Design-Vorlagen. CreaCheck Enterprise bietet unbegrenzte Nutzer, beliebig viele Design-Vorlagen, Buchhaltungs-Optionen und Anbindungen an kaufmännische Systeme wie SAP."",""['Business', 'Enterprise', 'Unterschied', 'Funktionen']"",product_comparison,Welche Lösung passt besser zu Ihrer Organisation? Ich helfe gerne bei der Auswahl.,0.8";
"Wahlkampf_Material,Welche Wahlkampfmaterialien kann ich mit CreaCheck erstellen?,""['Welche Wahlkampfmaterialien kann ich mit CreaCheck erstellen?', 'Welche Wahlkampfmaterialien kann ich mit das System erstellen?', 'Welche Wahlkampfmaterialien kann ich mit CreaCheck erstellen?', 'Ich brauche Infos über welche wahlkampfmaterialien kann ich mit creacheck erstellen?', 'Welche Wahlkampfmaterialien kann ich mit CreaCheck erstellen??', 'Hilfe bei: welche wahlkampfmaterialien kann ich mit creacheck erstellen?']"",""Mit CreaCheck können Sie alle wichtigen Wahlkampfmaterialien erstellen: Plakate, Flyer, Broschüren, Social Media Posts, Visitenkarten, Roll-Ups, Landingpages, Websites und vieles mehr. Alle Materialien werden automatisch in Ihrem Corporate Design erstellt."",""['Wahlkampfmaterial', 'Plakate', 'Flyer', 'Social Media', 'Website']"",material_types,Für welches spezielle Material benötigen Sie Hilfe? Ich kann Ihnen den Erstellungsprozess Schritt für Schritt erklären.,0.8";
"Wahlkampf_Material,Wie erstelle ich ein Wahlplakat?,['Wie erstelle ich ein Wahlplakat?'],""Loggen Sie sich in CreaCheck ein, wählen Sie 'Plakat' aus der Vorlagenliste, passen Sie Text und Bilder an Ihre Bedürfnisse an. Das System sorgt automatisch für die Einhaltung Ihres Corporate Designs. Anschließend können Sie das Plakat als PDF herunterladen oder direkt drucken lassen."",""['Plakat', 'erstellen', 'Vorlage', 'Corporate Design']"",how_to_create,Haben Sie Probleme bei einem bestimmten Schritt der Plakaterstellung? Ich führe Sie gerne durch den Prozess.,0.8";
"Wahlkampf_Material,Kann ich Materialien für Social Media erstellen?,['Kann ich Materialien für Social Media erstellen?'],""Ja, CreaCheck bietet speziell optimierte Vorlagen für alle Social Media Kanäle: Facebook, Instagram, Twitter, LinkedIn und weitere. Die Posts werden automatisch in den richtigen Formaten und mit Ihrem Corporate Design erstellt."",""['Social Media', 'Facebook', 'Instagram', 'Twitter', 'Format']"",social_media,Für welche Social Media Plattform möchten Sie Content erstellen? Jede hat spezielle Anforderungen.,0.8";
"Technische_Hilfe,Wie logge ich mich in CreaCheck ein?,""['Wie logge ich mich in CreaCheck ein?', 'Wie logge ich mich in das System ein?', 'Wie logge ich mich in CreaCheck ein?', 'Ich brauche Infos über wie logge ich mich in creacheck ein?', 'Wie logge ich mich in CreaCheck ein??', 'Hilfe bei: wie logge ich mich in creacheck ein?']"",""Besuchen Sie Ihre individuelle CreaCheck-URL, die Sie bei der Einrichtung erhalten haben. Geben Sie Ihre Benutzerdaten ein. Falls Sie Ihre Zugangsdaten vergessen haben, nutzen Sie die 'Passwort vergessen' Funktion oder kontaktieren Sie den Support."",""['Login', 'Anmeldung', 'URL', 'Passwort']"",login_help,Haben Sie Probleme beim Login oder benötigen Sie Ihre Zugangsdaten? Ich kann Ihnen weiterhelfen.,0.8";
"Technische_Hilfe,Warum funktioniert mein Login nicht?,['Warum funktioniert mein Login nicht?'],Überprüfen Sie folgende Punkte: 1) Verwenden Sie die richtige URL? 2) Sind Benutzername und Passwort korrekt? 3) Ist Ihr Account noch aktiv? Bei anhaltenden Problemen wenden Sie sich an den Support oder nutzen Sie die Schulungsvideos unter https://creacheckonlineschulung.com/,""['Login Problem', 'Zugangsdaten', 'Support', 'Schulung']"",troubleshooting,Welche Fehlermeldung erhalten Sie genau? Mit dieser Information kann ich Ihnen gezielter helfen.,0.8";
"Technische_Hilfe,Wo finde ich Schulungsvideos?,['Wo finde ich Schulungsvideos?'],Die umfangreichen Schulungsvideos finden Sie unter https://creacheckonlineschulung.com/. Dort erklärt Geschäftsführer Alexander Weimer alle Aspekte der CreaCheck-Bedienung detailliert. Die Videos sind speziell für CDU-Mitglieder erstellt worden.,""['Schulung', 'Videos', 'Training', 'Alexander Weimer']"",training_resources,Suchen Sie nach einem bestimmten Thema in den Schulungsvideos? Ich kann Ihnen passende Abschnitte empfehlen.,0.8";
"Politische_Inhalte,Was sind die wichtigsten CDU-Positionen?,['Was sind die wichtigsten CDU-Positionen?'],""Die CDU steht für christlich-demokratische Werte, soziale Marktwirtschaft, Bürgernähe und Verlässlichkeit. Spezifische Positionen finden Sie in unserem aktuellen Wahlprogramm. Für detaillierte Informationen besuchen Sie die Schulungsvideos unter https://creacheckonlineschulung.com/"",""['CDU', 'Positionen', 'Wahlprogramm', 'Werte']"",political_content,Interessieren Sie sich für ein bestimmtes Politikfeld? Oder möchten Sie mehr über lokale CDU-Positionen erfahren?,0.8";
"Politische_Inhalte,Wie finde ich lokale CDU-Kandidaten?,['Wie finde ich lokale CDU-Kandidaten?'],Lokale CDU-Kandidaten finden Sie auf der jeweiligen Landesverband-Website oder über die CDU-Bundeswebsite. Nutzen Sie die Kandidatensuche nach Postleitzahl oder Wahlkreis. Weitere Informationen erhalten Sie in den Schulungsvideos.,""['Kandidaten', 'lokal', 'Wahlkreis', 'Landesverband']"",candidate_search,Suchen Sie nach Kandidaten für eine bestimmte Wahl oder einen spezifischen Wahlkreis? Geben Sie mir mehr Details.,0.8";
"Support_Kontakt,Wie erreiche ich den CreaCheck Support?,""['Wie erreiche ich den CreaCheck Support?', 'Wie erreiche ich den das System Support?', 'Wie erreiche ich den CreaCheck Support?', 'Ich brauche Infos über wie erreiche ich den creacheck support?', 'Wie erreiche ich den CreaCheck Support??', 'Hilfe bei: wie erreiche ich den creacheck support?']"",Den CreaCheck Support erreichen Sie über die Website www.creacheck.com. Für CDU-spezifische Fragen nutzen Sie zunächst die Schulungsvideos unter https://creacheckonlineschulung.com/. Bei technischen Problemen wenden Sie sich direkt an das CreaCheck-Team.,""['Support', 'Kontakt', 'Hilfe', 'CreaCheck Team']"",contact_support,Ist Ihr Problem technischer Natur oder benötigen Sie Hilfe bei der Bedienung? Je nach Problem kann ich Sie an die richtige Stelle weiterleiten.,0.8";
"Support_Kontakt,Gibt es Live-Schulungen?,['Gibt es Live-Schulungen?'],""Ja, CreaCheck bietet regelmäßig Live-Schulungen an, die von Geschäftsführer Alexander Weimer persönlich durchgeführt werden. Termine und Anmeldung finden Sie unter https://creacheckonlineschulung.com/. Die Schulungen sind speziell auf CDU-Mitglieder zugeschnitten."",""['Live-Schulung', 'Termin', 'Alexander Weimer', 'Anmeldung']"",live_training,Möchten Sie sich für eine Live-Schulung anmelden oder haben Sie Fragen zu den Schulungsinhalten?,0.8";
"CreaCheck_Allgemein,Welche Hauptmarktsegmente bedient CreaCheck allgemein?,[],""CreaCheck bedient zwei grundsätzliche Marktsegmente: CreaCheck Business für kleinere Unternehmen und CreaCheck Enterprise für größere Unternehmen. Die CDU-Lösung ist eine Enterprise-Anwendung, die auf die Bedürfnisse einer großen Organisation mit vielen Nutzern zugeschnitten ist."",""Marktsegmente, Business, Enterprise, CDU-Lösung"",product_info,Möchten Sie mehr über die Unterschiede zwischen Business und Enterprise erfahren?,0.8";
"CreaCheck_Allgemein,Warum sollten CDU-Kandidaten und -Verbände CreaCheck für den Wahlkampf nutzen?,[],""CreaCheck bietet CDU-Nutzern entscheidende Vorteile: Einheitliches Corporate Design, Hohe Flexibilität bei der Mediengestaltung, Einhaltung der Design-Richtlinien, Intuitive Bedienung und Zeitersparnis, Schnelle Erstellung von Medien, Reduzierung von Korrekturläufen, Kosteneffizienz, Vielseitigkeit der Medienproduktion, Bequeme Bestellung von Druckerzeugnissen."",""Vorteile, Wahlkampf, CDU, Corporate Design, Zeitersparnis, Kosteneffizienz"",product_benefits,Sind Sie an spezifischen Vorteilen für Ihre Kampagne interessiert?,0.8";
"CreaCheck_Allgemein,Ist das CDU-Wahlkampfportal auch nach dem Wahlkampf nutzbar?,[],""Ja, das Portal kann und sollte auch nach Abschluss des Wahlkampfes weiterhin genutzt werden. Es ermöglicht die Erstellung von Werbemitteln außerhalb eines Wahlkampfs sowie die Einsichtnahme in Bestellungen und Rechnungen."",""Portal, Nutzung, nach Wahlkampf, Bestellungen"",usage_after_campaign,Haben Sie Fragen zur weiteren Nutzung des Portals nach einem Wahlkampf?,0.8";
"CreaCheck_Allgemein,""Wenn ich die Abfolge der Seiten in einer Broschüre oder einem Faltblatt verändere, passt sich das Layout an?"",[],""Ja, CreaCheck nimmt diese Änderungen beim Verschieben von Seiten automatisch vor. Der User muss hierfür nichts unternehmen. Dies gilt z.B. für Beschnittränder oder wenn bei einem Faltblatt mit Wickelfalz Einklappseiten schmaler sind als äußere Seiten."",""Layout, Seitenänderung, Broschüre, Faltblatt, automatisch"",layout_adjustment,Haben Sie Probleme mit der automatischen Layoutanpassung?,0.8";
"CreaCheck_Allgemein,Welche Medienkombination wird für einen Kommunalwahlkampf empfohlen?,[],""Eine Kombination aus traditionellen und digitalen Medien: Soziale Medien (Facebook, Instagram, Twitter, LinkedIn), Webseite (Landingpage), E-Mail-Marketing (Newsletter), Lokalzeitungen/-zeitschriften, Flyer und Broschüren, Öffentliche Veranstaltungen/Haustürwahlkampf, Wahlplakate, Lokale Radio-/Fernsehsender, Online-Werbung, Podcasts/Blogs."",""Medienkombination, Kommunalwahlkampf, Soziale Medien, Flyer, Plakate, Website"",campaign_strategy_recommendation,Benötigen Sie Empfehlungen für spezifische Wahlkampfphasen oder Zielgruppen?,0.8";
